time	V(vout)
0.000000000000000e+00	1.868277e-13
9.765624940649698e-12	-2.187727e-05
4.618833694243546e-07	-2.033236e-02
9.237569732237686e-07	-4.065667e-02
1.385630577023183e-06	-6.099480e-02
1.847504180822596e-06	-8.134675e-02
2.309377784622010e-06	-1.017125e-01
2.771251388421425e-06	-1.220921e-01
3.233124992220837e-06	-1.424855e-01
5.186249992220837e-06	-2.276542e-01
7.139374992220837e-06	-3.103486e-01
9.092499992220837e-06	-3.890382e-01
1.104562499222084e-05	-4.621908e-01
1.299874999222084e-05	-5.283180e-01
1.495187499222084e-05	-5.860226e-01
1.690499999222084e-05	-6.340469e-01
1.885812499222085e-05	-6.713188e-01
2.081124999222085e-05	-6.969935e-01
2.276437499222085e-05	-7.104861e-01
2.471749999222085e-05	-7.114947e-01
2.667062499222085e-05	-7.000131e-01
2.862374999222085e-05	-6.763287e-01
3.057687499222086e-05	-6.410102e-01
3.252999999222086e-05	-5.948836e-01
3.448312499222086e-05	-5.389977e-01
3.643624999222086e-05	-4.745840e-01
3.838937499222086e-05	-4.030108e-01
4.034249999222087e-05	-3.257368e-01
4.229562499222087e-05	-2.442644e-01
4.522531249222087e-05	-1.174642e-01
4.717843749222087e-05	-3.198563e-02
4.815499999222087e-05	1.052071e-02
4.913156249222087e-05	5.265610e-02
5.010812499222087e-05	9.426736e-02
5.108468749222087e-05	1.352087e-01
5.206124999222088e-05	1.753419e-01
5.401437499222088e-05	2.526704e-01
5.596749999222088e-05	3.253052e-01
5.792062499222088e-05	3.924240e-01
5.987374999222088e-05	4.533257e-01
6.182687499222088e-05	5.074231e-01
6.377999999222088e-05	5.542329e-01
6.573312499222088e-05	5.933658e-01
6.768624999222088e-05	6.245164e-01
6.963937499222088e-05	6.474533e-01
7.159249999222089e-05	6.620116e-01
7.354562499222089e-05	6.680863e-01
7.549874999222089e-05	6.656287e-01
7.745187499222089e-05	6.546446e-01
7.940499999222089e-05	6.351956e-01
8.135812499222089e-05	6.074025e-01
8.331124999222090e-05	5.714518e-01
8.526437499222090e-05	5.276031e-01
8.721749999222090e-05	4.761994e-01
8.917062499222090e-05	4.176775e-01
