Freq.	V(vout)
5.00000000000000e+01	(-3.00570335034839e+01dB,-9.01842310912052e+01°)
5.23564274025450e+01	(-2.96570357008809e+01dB,-9.01929136181328e+01°)
5.48239098071592e+01	(-2.92570381102781e+01dB,-9.02020053374426e+01°)
5.74076810748441e+01	(-2.88570407521287e+01dB,-9.02115255334067e+01°)
6.01132217308706e+01	(-2.84570436488594e+01dB,-9.02214943990820e+01°)
6.29462705897083e+01	(-2.80570468250601e+01dB,-9.02319330791313e+01°)
6.59128369278203e+01	(-2.76570503076936e+01dB,-9.02428637146617e+01°)
6.90192132301442e+01	(-2.72570541263234e+01dB,-9.02543094901761e+01°)
7.22719885372963e+01	(-2.68570583133658e+01dB,-9.02662946827337e+01°)
7.56780624218103e+01	(-2.64570629043638e+01dB,-9.02788447134262e+01°)
7.92446596230556e+01	(-2.60570679382901e+01dB,-9.02919862012791e+01°)
8.29793453718779e+01	(-2.56570734578769e+01dB,-9.03057470196881e+01°)
8.68900414374686e+01	(-2.52570795099791e+01dB,-9.03201563555172e+01°)
9.09850429304990e+01	(-2.48570861459719e+01dB,-9.03352447709731e+01°)
9.52730358981622e+01	(-2.44570934221871e+01dB,-9.03510442683963e+01°)
9.97631157484438e+01	(-2.40571014003907e+01dB,-9.03675883581001e+01°)
1.04464806542702e+02	(-2.36571101483079e+01dB,-9.03849121294017e+01°)
1.09388081197477e+02	(-2.32571197401974e+01dB,-9.04030523249950e+01°)
1.14543382638388e+02	(-2.28571302574818e+01dB,-9.04220474188243e+01°)
1.19941645950974e+02	(-2.24571417894391e+01dB,-9.04419376976174e+01°)
1.25594321575479e+02	(-2.20571544339597e+01dB,-9.04627653462568e+01°)
1.31513399594769e+02	(-2.16571682983779e+01dB,-9.04845745371601e+01°)
1.37711435166908e+02	(-2.12571835003825e+01dB,-9.05074115238674e+01°)
1.44201575156330e+02	(-2.08572001690160e+01dB,-9.05313247390212e+01°)
1.50997586020100e+02	(-2.04572184457694e+01dB,-9.05563648969532e+01°)
1.58113883008418e+02	(-2.00572384857829e+01dB,-9.05825851010875e+01°)
1.65565560741295e+02	(-1.96572604591632e+01dB,-9.06100409563868e+01°)
1.73368425226265e+02	(-1.92572845524263e+01dB,-9.06387906870767e+01°)
1.81539027385050e+02	(-1.88573109700807e+01dB,-9.06688952598915e+01°)
1.90094698160280e+02	(-1.84573399363626e+01dB,-9.07004185131012e+01°)
1.99053585276748e+02	(-1.80573716971387e+01dB,-9.07334272915848e+01°)
2.08434691735167e+02	(-1.76574065219925e+01dB,-9.07679915882323e+01°)
2.18257916120082e+02	(-1.72574447065113e+01dB,-9.08041846919656e+01°)
2.28544094807436e+02	(-1.68574865747943e+01dB,-9.08420833426873e+01°)
2.39315046161318e+02	(-1.64575324822023e+01dB,-9.08817678934715e+01°)
2.50593616813635e+02	(-1.60575828183718e+01dB,-9.09233224803347e+01°)
2.62403730124885e+02	(-1.56576380105205e+01dB,-9.09668351999306e+01°)
2.74770436928811e+02	(-1.52576985270710e+01dB,-9.10123982955317e+01°)
2.87719968668577e+02	(-1.48577648816237e+01dB,-9.10601083516760e+01°)
3.01279793037177e+02	(-1.44578376373122e+01dB,-9.11100664978728e+01°)
3.15478672240095e+02	(-1.40579174115787e+01dB,-9.11623786217751e+01°)
3.30346724003796e+02	(-1.36580048814093e+01dB,-9.12171555922488e+01°)
3.45915485459466e+02	(-1.32581007890736e+01dB,-9.12745134927786e+01°)
3.62217980037493e+02	(-1.28582059484165e+01dB,-9.13345738656759e+01°)
3.79288787514590e+02	(-1.24583212517563e+01dB,-9.13974639675646e+01°)
3.97164117362138e+02	(-1.20584476774467e+01dB,-9.14633170366465e+01°)
4.15881885551333e+02	(-1.16585862981661e+01dB,-9.15322725722575e+01°)
4.35481794978037e+02	(-1.12587382900053e+01dB,-9.16044766272530e+01°)
4.56005419677952e+02	(-1.08589049424282e+01dB,-9.16800821137757e+01°)
4.77496293010715e+02	(-1.04590876691911e+01dB,-9.17592491229741e+01°)
4.99999999999997e+02	(-1.00592880203117e+01dB,-9.18421452592654e+01°)
5.23564274025446e+02	(-9.65950769518738e+00dB,-9.19289459897489e+01°)
5.48239098071589e+02	(-9.25974855697465e+00dB,-9.20198350093953e+01°)
5.74076810748437e+02	(-8.86001264834856e+00dB,-9.21150046226530e+01°)
6.01132217308702e+02	(-8.46030220877475e+00dB,-9.22146561421278e+01°)
6.29462705897079e+02	(-8.06061969343831e+00dB,-9.23190003050075e+01°)
6.59128369278198e+02	(-7.66096779398720e+00dB,-9.24282577079111e+01°)
6.90192132301437e+02	(-7.26134946126324e+00dB,-9.25426592608565e+01°)
7.22719885372958e+02	(-6.86176793020929e+00dB,-9.26624466610429e+01°)
7.56780624218098e+02	(-6.46222674715951e+00dB,-9.27878728871509e+01°)
7.92446596230550e+02	(-6.06272979973837e+00dB,-9.29192027148576e+01°)
8.29793453718773e+02	(-5.66328134961541e+00dB,-9.30567132542641e+01°)
8.68900414374680e+02	(-5.26388606838522e+00dB,-9.32006945099143e+01°)
9.09850429304984e+02	(-4.86454907686744e+00dB,-9.33514499640687e+01°)
9.52730358981615e+02	(-4.46527598814798e+00dB,-9.35092971838695e+01°)
9.97631157484431e+02	(-4.06607295471264e+00dB,-9.36745684529919e+01°)
1.04464806542701e+03	(-3.66694672005559e+00dB,-9.38476114283339e+01°)
1.09388081197477e+03	(-3.26790467517995e+00dB,-9.40287898222290e+01°)
1.14543382638388e+03	(-2.86895492044509e+00dB,-9.42184841105922e+01°)
1.19941645950973e+03	(-2.47010633325522e+00dB,-9.44170922673124e+01°)
1.25594321575478e+03	(-2.07136864212799e+00dB,-9.46250305250880e+01°)
1.31513399594768e+03	(-1.67275250772814e+00dB,-9.48427341627619e+01°)
1.37711435166907e+03	(-1.27426961150223e+00dB,-9.50706583190435e+01°)
1.44201575156329e+03	(-8.75932752603939e-01dB,-9.53092788323043e+01°)
1.50997586020099e+03	(-4.77755953858145e-01dB,-9.55590931058969e+01°)
1.58113883008417e+03	(-7.97545775729985e-02dB,-9.58206209981677e+01°)
1.65565560741294e+03	(3.18054547924520e-01dB,-9.60944057360054e+01°)
1.73368425226264e+03	(7.15652990084717e-01dB,-9.63810148503863e+01°)
1.81539027385049e+03	(1.11302056124461e+00dB,-9.66810411319303e+01°)
1.90094698160278e+03	(1.51013515395516e+00dB,-9.69951036039665e+01°)
1.99053585276746e+03	(1.90697256135046e+00dB,-9.73238485100112e+01°)
2.08434691735165e+03	(2.30350628129972e+00dB,-9.76679503118706e+01°)
2.18257916120081e+03	(2.69970730299735e+00dB,-9.80281126937922e+01°)
2.28544094807435e+03	(3.09554387455939e+00dB,-9.84050695671800e+01°)
2.39315046161316e+03	(3.49098125010780e+00dB,-9.87995860693541e+01°)
2.50593616813633e+03	(3.88598141473762e+00dB,-9.92124595486523e+01°)
2.62403730124883e+03	(4.28050278567987e+00dB,-9.96445205268294e+01°)
2.74770436928809e+03	(4.67449988789506e+00dB,-1.00096633628187e+02°)
2.87719968668575e+03	(5.06792300226356e+00dB,-1.00569698463152e+02°)
3.01279793037175e+03	(5.46071778448175e+00dB,-1.01064650452071e+02°)
3.15478672240093e+03	(5.85282485273177e+00dB,-1.01582461572852e+02°)
3.30346724003794e+03	(6.24417934217326e+00dB,-1.02124141013599e+02°)
3.45915485459464e+03	(6.63471042431305e+00dB,-1.02690735708757e+02°)
3.62217980037490e+03	(7.02434078935204e+00dB,-1.03283330734226e+02°)
3.79288787514587e+03	(7.41298608969456e+00dB,-1.03903049533657e+02°)
3.97164117362135e+03	(7.80055434294556e+00dB,-1.04551053944501e+02°)
4.15881885551330e+03	(8.18694529292676e+00dB,-1.05228543988485e+02°)
4.35481794978034e+03	(8.57204972752647e+00dB,-1.05936757386919e+02°)
4.56005419677949e+03	(8.95574875257599e+00dB,-1.06676968756734e+02°)
4.77496293010711e+03	(9.33791302143431e+00dB,-1.07450488438342e+02°)
4.99999999999993e+03	(9.71840192058111e+00dB,-1.08258660901404e+02°)
5.23564274025442e+03	(1.00970627122865e+01dB,-1.09102862669435e+02°)
5.48239098071585e+03	(1.04737296363665e+01dB,-1.09984499699019e+02°)
5.74076810748433e+03	(1.08482229741675e+01dB,-1.10905004144291e+02°)
6.01132217308698e+03	(1.12203480792768e+01dB,-1.11865830432567e+02°)
6.29462705897074e+03	(1.15898943810476e+01dB,-1.12868450572694e+02°)
6.59128369278194e+03	(1.19566343688795e+01dB,-1.13914348614186e+02°)
6.90192132301432e+03	(1.23203225673247e+01dB,-1.15005014172826e+02°)
7.22719885372953e+03	(1.26806945145055e+01dB,-1.16141934937578e+02°)
7.56780624218093e+03	(1.30374657590309e+01dB,-1.17326588074779e+02°)
