Freq.	V(vout)
5.00000000000000e+00	(1.99999101381213e+01dB,1.79995355858064e+02°)
5.23564274025450e+00	(1.99999101354488e+01dB,1.79995136986399e+02°)
5.48239098071592e+00	(1.99999101325186e+01dB,1.79994907799630e+02°)
5.74076810748441e+00	(1.99999101293056e+01dB,1.79994667811621e+02°)
6.01132217308706e+00	(1.99999101257826e+01dB,1.79994416513326e+02°)
6.29462705897083e+00	(1.99999101219198e+01dB,1.79994153371708e+02°)
6.59128369278203e+00	(1.99999101176843e+01dB,1.79993877828608e+02°)
6.90192132301442e+00	(1.99999101130401e+01dB,1.79993589299561e+02°)
7.22719885372963e+00	(1.99999101079479e+01dB,1.79993287172560e+02°)
7.56780624218103e+00	(1.99999101023644e+01dB,1.79992970806753e+02°)
7.92446596230556e+00	(1.99999100962422e+01dB,1.79992639531084e+02°)
8.29793453718779e+00	(1.99999100895293e+01dB,1.79992292642875e+02°)
8.68900414374686e+00	(1.99999100821689e+01dB,1.79991929406329e+02°)
9.09850429304990e+00	(1.99999100740982e+01dB,1.79991549050973e+02°)
9.52730358981622e+00	(1.99999100652490e+01dB,1.79991150770021e+02°)
9.97631157484438e+00	(1.99999100555460e+01dB,1.79990733718668e+02°)
1.04464806542702e+01	(1.99999100449068e+01dB,1.79990297012291e+02°)
1.09388081197477e+01	(1.99999100332412e+01dB,1.79989839724577e+02°)
1.14543382638388e+01	(1.99999100204501e+01dB,1.79989360885559e+02°)
1.19941645950974e+01	(1.99999100064250e+01dB,1.79988859479554e+02°)
1.25594321575479e+01	(1.99999099910468e+01dB,1.79988334443015e+02°)
1.31513399594769e+01	(1.99999099741848e+01dB,1.79987784662268e+02°)
1.37711435166908e+01	(1.99999099556961e+01dB,1.79987208971154e+02°)
1.44201575156330e+01	(1.99999099354236e+01dB,1.79986606148557e+02°)
1.50997586020100e+01	(1.99999099131953e+01dB,1.79985974915809e+02°)
1.58113883008418e+01	(1.99999098888224e+01dB,1.79985313933982e+02°)
1.65565560741295e+01	(1.99999098620981e+01dB,1.79984621801045e+02°)
1.73368425226265e+01	(1.99999098327954e+01dB,1.79983897048893e+02°)
1.81539027385050e+01	(1.99999098006657e+01dB,1.79983138140229e+02°)
1.90094698160280e+01	(1.99999097654362e+01dB,1.79982343465307e+02°)
1.99053585276748e+01	(1.99999097268078e+01dB,1.79981511338518e+02°)
2.08434691735167e+01	(1.99999096844525e+01dB,1.79980639994809e+02°)
2.18257916120082e+01	(1.99999096380110e+01dB,1.79979727585945e+02°)
2.28544094807436e+01	(1.99999095870888e+01dB,1.79978772176587e+02°)
2.39315046161318e+01	(1.99999095312538e+01dB,1.79977771740185e+02°)
2.50593616813635e+01	(1.99999094700319e+01dB,1.79976724154682e+02°)
2.62403730124885e+01	(1.99999094029034e+01dB,1.79975627198011e+02°)
2.74770436928811e+01	(1.99999093292985e+01dB,1.79974478543384e+02°)
2.87719968668577e+01	(1.99999092485923e+01dB,1.79973275754352e+02°)
3.01279793037177e+01	(1.99999091600997e+01dB,1.79972016279644e+02°)
3.15478672240095e+01	(1.99999090630695e+01dB,1.79970697447750e+02°)
3.30346724003796e+01	(1.99999089566780e+01dB,1.79969316461255e+02°)
3.45915485459466e+01	(1.99999088400221e+01dB,1.79967870390909e+02°)
3.62217980037493e+01	(1.99999087121114e+01dB,1.79966356169408e+02°)
3.79288787514590e+01	(1.99999085718602e+01dB,1.79964770584895e+02°)
3.97164117362138e+01	(1.99999084180777e+01dB,1.79963110274142e+02°)
4.15881885551333e+01	(1.99999082494586e+01dB,1.79961371715417e+02°)
4.35481794978038e+01	(1.99999080645715e+01dB,1.79959551221016e+02°)
4.56005419677952e+01	(1.99999078618467e+01dB,1.79957644929442e+02°)
4.77496293010715e+01	(1.99999076395635e+01dB,1.79955648797210e+02°)
4.99999999999997e+01	(1.99999073958348e+01dB,1.79953558590274e+02°)
5.23564274025446e+01	(1.99999071285916e+01dB,1.79951369875047e+02°)
5.48239098071588e+01	(1.99999068355653e+01dB,1.79949078008995e+02°)
5.74076810748437e+01	(1.99999065142684e+01dB,1.79946678130791e+02°)
6.01132217308702e+01	(1.99999061619733e+01dB,1.79944165150004e+02°)
6.29462705897079e+01	(1.99999057756895e+01dB,1.79941533736301e+02°)
6.59128369278198e+01	(1.99999053521377e+01dB,1.79938778308145e+02°)
6.90192132301437e+01	(1.99999048877225e+01dB,1.79935893020950e+02°)
7.22719885372958e+01	(1.99999043785014e+01dB,1.79932871754694e+02°)
7.56780624218098e+01	(1.99999038201517e+01dB,1.79929708100928e+02°)
7.92446596230550e+01	(1.99999032079334e+01dB,1.79926395349193e+02°)
8.29793453718773e+01	(1.99999025366496e+01dB,1.79922926472784e+02°)
8.68900414374680e+01	(1.99999018006016e+01dB,1.79919294113847e+02°)
9.09850429304984e+01	(1.99999009935411e+01dB,1.79915490567772e+02°)
9.52730358981615e+01	(1.99999001086172e+01dB,1.79911507766858e+02°)
9.97631157484431e+01	(1.99998991383175e+01dB,1.79907337263197e+02°)
1.04464806542701e+02	(1.99998980744053e+01dB,1.79902970210762e+02°)
1.09388081197477e+02	(1.99998969078491e+01dB,1.79898397346643e+02°)
1.14543382638388e+02	(1.99998956287460e+01dB,1.79893608971406e+02°)
1.19941645950973e+02	(1.99998942262378e+01dB,1.79888594928521e+02°)
1.25594321575478e+02	(1.99998926884186e+01dB,1.79883344582826e+02°)
1.31513399594768e+02	(1.99998910022341e+01dB,1.79877846797972e+02°)
1.37711435166907e+02	(1.99998891533703e+01dB,1.79872089912809e+02°)
1.44201575156329e+02	(1.99998871261323e+01dB,1.79866061716657e+02°)
1.50997586020099e+02	(1.99998849033111e+01dB,1.79859749423416e+02°)
1.58113883008417e+02	(1.99998824660375e+01dB,1.79853139644453e+02°)
1.65565560741294e+02	(1.99998797936217e+01dB,1.79846218360216e+02°)
1.73368425226264e+02	(1.99998768633779e+01dB,1.79838970890507e+02°)
1.81539027385049e+02	(1.99998736504318e+01dB,1.79831381863362e+02°)
1.90094698160278e+02	(1.99998701275092e+01dB,1.79823435182458e+02°)
1.99053585276746e+02	(1.99998662647046e+01dB,1.79815113992991e+02°)
2.08434691735165e+02	(1.99998620292275e+01dB,1.79806400645950e+02°)
2.18257916120080e+02	(1.99998573851240e+01dB,1.79797276660704e+02°)
2.28544094807435e+02	(1.99998522929715e+01dB,1.79787722685830e+02°)
2.39315046161316e+02	(1.99998467095442e+01dB,1.79777718458107e+02°)
2.50593616813633e+02	(1.99998405874461e+01dB,1.79767242759564e+02°)
2.62403730124883e+02	(1.99998338747090e+01dB,1.79756273372528e+02°)
2.74770436928809e+02	(1.99998265143510e+01dB,1.79744787032542e+02°)
2.87719968668575e+02	(1.99998184438933e+01dB,1.79732759379081e+02°)
3.01279793037175e+02	(1.99998095948296e+01dB,1.79720164903945e+02°)
3.15478672240093e+02	(1.99997998920450e+01dB,1.79706976897232e+02°)
3.30346724003794e+02	(1.99997892531782e+01dB,1.79693167390771e+02°)
3.45915485459464e+02	(1.99997775879226e+01dB,1.79678707098903e+02°)
3.62217980037490e+02	(1.99997647972602e+01dB,1.79663565356476e+02°)
3.79288787514587e+02	(1.99997507726211e+01dB,1.79647710053935e+02°)
3.97164117362136e+02	(1.99997353949622e+01dB,1.79631107569373e+02°)
4.15881885551330e+02	(1.99997185337571e+01dB,1.79613722697389e+02°)
4.35481794978034e+02	(1.99997000458887e+01dB,1.79595518574617e+02°)
4.56005419677949e+02	(1.99996797744345e+01dB,1.79576456601768e+02°)
4.77496293010711e+02	(1.99996575473357e+01dB,1.79556496362030e+02°)
4.99999999999993e+02	(1.99996331759374e+01dB,1.79535595535639e+02°)
5.23564274025442e+02	(1.99996064533877e+01dB,1.79513709810479e+02°)
5.48239098071585e+02	(1.99995771528837e+01dB,1.79490792788488e+02°)
5.74076810748433e+02	(1.99995450257472e+01dB,1.79466795887717e+02°)
6.01132217308698e+02	(1.99995097993158e+01dB,1.79441668239812e+02°)
6.29462705897074e+02	(1.99994711746302e+01dB,1.79415356582740e+02°)
6.59128369278194e+02	(1.99994288238997e+01dB,1.79387805148514e+02°)
6.90192132301432e+02	(1.99993823877219e+01dB,1.79358955545722e+02°)
7.22719885372953e+02	(1.99993314720362e+01dB,1.79328746636599e+02°)
7.56780624218093e+02	(1.99992756447833e+01dB,1.79297114408420e+02°)
7.92446596230545e+02	(1.99992144322429e+01dB,1.79263991838952e+02°)
8.29793453718768e+02	(1.99991473150188e+01dB,1.79229308755701e+02°)
8.68900414374674e+02	(1.99990737236386e+01dB,1.79192991688693e+02°)
9.09850429304977e+02	(1.99989930337284e+01dB,1.79154963716493e+02°)
9.52730358981608e+02	(1.99989045607249e+01dB,1.79115144305182e+02°)
9.97631157484424e+02	(1.99988075540777e+01dB,1.79073449139991e+02°)
1.04464806542700e+03	(1.99987011908953e+01dB,1.79029789949272e+02°)
1.09388081197476e+03	(1.99985845689797e+01dB,1.78984074320498e+02°)
1.14543382638387e+03	(1.99984566991926e+01dB,1.78936205507955e+02°)
1.19941645950973e+03	(1.99983164970874e+01dB,1.78886082231792e+02°)
1.25594321575477e+03	(1.99981627737395e+01dB,1.78833598468087e+02°)
1.31513399594767e+03	(1.99979942256960e+01dB,1.78778643229570e+02°)
1.37711435166906e+03	(1.99978094239614e+01dB,1.78721100336648e+02°)
1.44201575156328e+03	(1.99976068019295e+01dB,1.78660848178371e+02°)
1.50997586020098e+03	(1.99973846421576e+01dB,1.78597759462970e+02°)
1.58113883008416e+03	(1.99971410618768e+01dB,1.78531700957596e+02°)
1.65565560741293e+03	(1.99968739971157e+01dB,1.78462533216906e+02°)
1.73368425226263e+03	(1.99965811853085e+01dB,1.78390110300107e+02°)
1.81539027385047e+03	(1.99962601462424e+01dB,1.78314279476133e+02°)
1.90094698160277e+03	(1.99959081611889e+01dB,1.78234880916581e+02°)
1.99053585276745e+03	(1.99955222500480e+01dB,1.78151747376090e+02°)
2.08434691735164e+03	(1.99950991463183e+01dB,1.78064703859844e+02°)
2.18257916120079e+03	(1.99946352696902e+01dB,1.77973567277919e+02°)
2.28544094807433e+03	(1.99941266960406e+01dB,1.77878146086218e+02°)
2.39315046161315e+03	(1.99935691245859e+01dB,1.77778239913784e+02°)
2.50593616813631e+03	(1.99929578419329e+01dB,1.77673639176331e+02°)
2.62403730124881e+03	(1.99922876827385e+01dB,1.77564124675903e+02°)
