time	V(vout)
0.000000000000000e+00	9.112033e-04
5.848170882457917e-08	9.316069e-04
1.169634176491583e-07	6.400083e-04
1.754451264737375e-07	3.640745e-05
2.339268352983167e-07	-8.791955e-04
2.924085441228958e-07	-2.106801e-03
3.508902529474750e-07	-3.646408e-03
4.093719617720541e-07	-5.498018e-03
7.518516146829438e-07	-2.159849e-02
1.230200082876866e-06	-5.733318e-02
1.920391518818313e-06	-1.294743e-01
2.849236568533435e-06	-2.530487e-01
4.122736088709339e-06	-4.531520e-01
5.608863925845208e-06	-7.131120e-01
7.670861329141351e-06	-1.098490e+00
1.044984158756612e-05	-1.637958e+00
1.454547370412403e-05	-2.430482e+00
1.926520818039031e-05	-3.247780e+00
2.265786392909552e-05	-3.681405e+00
2.562416558023375e-05	-3.890621e+00
2.751623986008552e-05	-3.935275e+00
2.986934025436843e-05	-3.902543e+00
3.319173750341171e-05	-3.707842e+00
3.755840027962335e-05	-3.228053e+00
4.428296387678247e-05	-2.133327e+00
5.114734904283698e-05	-7.625223e-01
5.816861532115282e-05	7.300835e-01
6.420020185376583e-05	2.015800e+00
7.084716197189413e-05	3.283024e+00
7.492695872047009e-05	3.790473e+00
7.647285174880702e-05	3.881957e+00
7.842508269264387e-05	3.918050e+00
8.032323167367293e-05	3.879774e+00
8.253065308374111e-05	3.758504e+00
8.570831183650196e-05	3.461408e+00
9.044669836197703e-05	2.804193e+00
9.798459677062180e-05	1.424158e+00
1.049286285277171e-04	-2.632811e-02
1.118190790918354e-04	-1.505344e+00
1.183867507429783e-04	-2.857804e+00
1.226826384727124e-04	-3.566070e+00
1.256335402989360e-04	-3.847008e+00
1.275315002908126e-04	-3.914733e+00
1.293365805236936e-04	-3.908046e+00
1.317211667743022e-04	-3.810031e+00
1.342985609396564e-04	-3.606004e+00
1.387280081045303e-04	-3.062686e+00
1.446304036681297e-04	-2.063957e+00
1.512129896709250e-04	-7.452958e-01
1.580288118996389e-04	7.032728e-01
1.641017806323182e-04	1.997824e+00
1.707110756528462e-04	3.263494e+00
1.748733883106874e-04	3.786965e+00
1.764529399421983e-04	3.881589e+00
1.782489805256750e-04	3.918210e+00
1.799598000597247e-04	3.892067e+00
1.820862632899374e-04	3.788956e+00
1.850741378847887e-04	3.531123e+00
1.895830987499321e-04	2.939944e+00
1.964392010652329e-04	1.727986e+00
2.033997310126740e-04	2.968475e-01
2.107532567483532e-04	-1.278339e+00
2.173721828789827e-04	-2.663203e+00
2.218856945899113e-04	-3.459310e+00
2.253300068765049e-04	-3.828987e+00
2.270373414547004e-04	-3.905198e+00
2.292379015995677e-04	-3.910455e+00
2.315385139685173e-04	-3.820936e+00
2.341790055885061e-04	-3.617594e+00
2.381920359959030e-04	-3.139206e+00
2.442559268013586e-04	-2.134870e+00
2.509799679466463e-04	-7.949890e-01
2.579001021460835e-04	6.746792e-01
2.639431749137847e-04	1.963708e+00
2.705803896307257e-04	3.241921e+00
2.748217605910575e-04	3.782448e+00
2.764337493736250e-04	3.880630e+00
2.783739159207335e-04	3.918250e+00
2.802641678274143e-04	3.881987e+00
2.824682647489287e-04	3.762985e+00
2.856155092254316e-04	3.471920e+00
2.903169776503428e-04	2.824971e+00
2.977554036431314e-04	1.469705e+00
3.047450772051010e-04	1.256673e-02
3.116896383504136e-04	-1.477837e+00
3.182605311723119e-04	-2.834057e+00
3.226288619246454e-04	-3.558968e+00
3.256131866681701e-04	-3.845783e+00
3.274983679055001e-04	-3.914212e+00
3.293251550014046e-04	-3.908283e+00
3.317354446002716e-04	-3.809187e+00
3.343070138951792e-04	-3.605188e+00
3.387385849692514e-04	-3.061138e+00
3.446295623277927e-04	-2.064069e+00
3.512109732087651e-04	-7.456858e-01
3.580250290519640e-04	7.024899e-01
3.640984781865309e-04	1.997155e+00
3.707075052779214e-04	3.262945e+00
3.748719802377696e-04	3.786858e+00
3.764524165592799e-04	3.881571e+00
3.782624710553295e-04	3.918238e+00
3.799889598319619e-04	3.891173e+00
3.821093677503917e-04	3.787443e+00
3.851166265492098e-04	3.526612e+00
3.896311018414501e-04	2.932549e+00
3.965488976581860e-04	1.706758e+00
4.035372007752703e-04	2.679421e-01
4.108499313632887e-04	-1.298918e+00
4.174634742398563e-04	-2.681049e+00
4.219427737902844e-04	-3.467491e+00
4.253518941505027e-04	-3.830442e+00
4.270729777519603e-04	-3.906100e+00
4.292382117605570e-04	-3.910420e+00
4.315732641165248e-04	-3.818936e+00
4.341990640670341e-04	-3.615670e+00
4.382698939081111e-04	-3.128250e+00
4.442960190655775e-04	-2.127219e+00
4.509884124021556e-04	-7.930039e-01
4.578943621698664e-04	6.736520e-01
4.639384851492623e-04	1.962896e+00
4.705721517632151e-04	3.240733e+00
4.748185000713900e-04	3.782231e+00
4.764325373680507e-04	3.880608e+00
4.783732896604420e-04	3.918265e+00
4.802642947292845e-04	3.881989e+00
4.824737350160746e-04	3.762603e+00
4.856199734822291e-04	3.471416e+00
4.903277851954023e-04	2.823253e+00
4.977639296345819e-04	1.467975e+00
5.047505346581869e-04	1.138062e-02
5.116912937218797e-04	-1.478214e+00
5.182621145050635e-04	-2.834374e+00
5.226324941627717e-04	-3.559425e+00
5.256145619461332e-04	-3.845857e+00
5.275006066533968e-04	-3.914243e+00
5.293261316048033e-04	-3.908261e+00
5.317408746677854e-04	-3.808861e+00
5.343118972612892e-04	-3.604715e+00
5.387497623481061e-04	-3.059510e+00
5.446401133360708e-04	-2.062077e+00
5.512224489364575e-04	-7.432840e-01
5.580339155389611e-04	7.044017e-01
5.641090099768536e-04	1.999368e+00
5.707174313634226e-04	3.264525e+00
5.748758945238070e-04	3.787177e+00
5.764538715040212e-04	3.881632e+00
5.782667065195376e-04	3.918245e+00
5.799959802481109e-04	3.890955e+00
5.821111615089939e-04	3.787323e+00
5.851243633037479e-04	3.525790e+00
5.896365399909124e-04	2.931703e+00
5.965718031468712e-04	1.702347e+00
6.035669090396451e-04	2.617123e-01
6.108728723149543e-04	-1.303784e+00
6.174852311046950e-04	-2.685282e+00
6.219569077316631e-04	-3.469496e+00
6.253573100628021e-04	-3.830795e+00
6.270817957377120e-04	-3.906317e+00
6.292384681500209e-04	-3.910407e+00
6.315801650434110e-04	-3.818536e+00
6.342027683340905e-04	-3.615314e+00
6.382862397540466e-04	-3.125943e+00
6.443038826922277e-04	-2.125713e+00
6.509893856540438e-04	-7.927524e-01
6.578924509447962e-04	6.732859e-01
6.639367403120895e-04	1.962567e+00
6.705696791491351e-04	3.240364e+00
