time	V(vout)
0.000000000000000e+00	9.112033e-04
9.034937759718040e-08	9.568736e-04
1.806987551943608e-07	1.161073e-03
2.710481327915412e-07	1.523803e-03
3.613975103887216e-07	2.045061e-03
4.517468879859020e-07	2.724850e-03
5.420962655830824e-07	3.563168e-03
6.324456431802625e-07	4.560015e-03
1.156379535078582e-06	1.281087e-02
1.879570597825572e-06	3.029242e-02
2.917079740001538e-06	6.452028e-02
4.328337431106131e-06	1.226700e-01
6.229314294629064e-06	2.132959e-01
8.451029689665242e-06	3.283625e-01
1.138189894040800e-05	4.863359e-01
2.071556389777398e-05	9.987168e-01
2.914812603000094e-05	1.460212e+00
3.891375103000094e-05	1.989483e+00
4.867937603000094e-05	2.511292e+00
5.844500103000094e-05	3.023655e+00
6.821062603000094e-05	3.524647e+00
7.797625103000093e-05	4.012379e+00
8.774187603000093e-05	4.485011e+00
9.750750103000092e-05	4.940763e+00
1.072731260300009e-04	5.377917e+00
1.170387510300009e-04	5.794856e+00
1.365700010300009e-04	6.562372e+00
1.561012510300009e-04	7.230994e+00
1.756325010300010e-04	7.790690e+00
1.951637510300010e-04	8.233065e+00
2.146950010300010e-04	8.551496e+00
2.342262510300010e-04	8.741229e+00
2.537575010300010e-04	8.799453e+00
2.732887510300011e-04	8.725335e+00
2.928200010300011e-04	8.520035e+00
3.123512510300011e-04	8.186684e+00
3.318825010300011e-04	7.730331e+00
3.514137510300011e-04	7.157872e+00
3.709450010300011e-04	6.477943e+00
3.904762510300012e-04	5.700796e+00
4.002418760300012e-04	5.279130e+00
4.100075010300012e-04	4.837433e+00
4.197731260300012e-04	4.377590e+00
4.295387510300012e-04	3.901263e+00
4.393043760300012e-04	3.410261e+00
4.490700010300012e-04	2.906425e+00
4.588356260300012e-04	2.391651e+00
4.686012510300012e-04	1.867871e+00
4.783668760300012e-04	1.337056e+00
4.881325010300012e-04	8.012014e-01
4.978981260300012e-04	2.623221e-01
5.076637510300012e-04	-2.775543e-01
5.174293760300012e-04	-8.163962e-01
5.271950010300012e-04	-1.352175e+00
5.369606260300012e-04	-1.882874e+00
5.467262510300012e-04	-2.406492e+00
5.564918760300012e-04	-2.921058e+00
5.662575010300013e-04	-3.424631e+00
5.760231260300013e-04	-3.915314e+00
5.857887510300013e-04	-4.391255e+00
5.955543760300013e-04	-4.850661e+00
6.053200010300013e-04	-5.291799e+00
6.150856260300013e-04	-5.713003e+00
6.248512510300013e-04	-6.112688e+00
6.346168760300013e-04	-6.489344e+00
6.443825010300013e-04	-6.841554e+00
6.541481260300013e-04	-7.167988e+00
6.736793760300014e-04	-7.738717e+00
6.932106260300014e-04	-8.192945e+00
7.127418760300014e-04	-8.523863e+00
7.322731260300014e-04	-8.726490e+00
7.518043760300014e-04	-8.797802e+00
7.713356260300014e-04	-8.736765e+00
7.908668760300015e-04	-8.544341e+00
8.103981260300015e-04	-8.223458e+00
8.299293760300015e-04	-7.778930e+00
8.494606260300015e-04	-7.217473e+00
8.592262510300015e-04	-6.895470e+00
8.689918760300015e-04	-6.547534e+00
8.787575010300015e-04	-6.174971e+00
8.885231260300015e-04	-5.779182e+00
8.982887510300016e-04	-5.361656e+00
9.080543760300016e-04	-4.923960e+00
9.178200010300016e-04	-4.467739e+00
9.275856260300016e-04	-3.994705e+00
9.373512510300016e-04	-3.506638e+00
9.471168760300016e-04	-3.005369e+00
9.568825010300016e-04	-2.492782e+00
9.666481260300016e-04	-1.970804e+00
9.764137510300016e-04	-1.441396e+00
9.861793760300016e-04	-9.065489e-01
9.959450010300016e-04	-3.682740e-01
1.005710626030002e-03	1.714035e-01
1.015476251030002e-03	7.104528e-01
1.025241876030002e-03	1.246844e+00
1.035007501030002e-03	1.778558e+00
1.044773126030002e-03	2.303592e+00
1.054538751030002e-03	2.819967e+00
1.064304376030002e-03	3.325737e+00
1.074070001030002e-03	3.818996e+00
1.083835626030002e-03	4.297885e+00
1.093601251030002e-03	4.760600e+00
1.103366876030002e-03	5.205394e+00
1.113132501030002e-03	5.630595e+00
1.132663751030002e-03	6.416442e+00
1.152195001030002e-03	7.105686e+00
1.171726251030002e-03	7.687892e+00
1.191257501030002e-03	8.154320e+00
1.210788751030002e-03	8.497981e+00
1.230320001030002e-03	8.713741e+00
1.249851251030002e-03	8.798397e+00
1.269382501030002e-03	8.750718e+00
1.288913751030002e-03	8.571467e+00
1.308445001030002e-03	8.263383e+00
1.327976251030002e-03	7.831137e+00
1.347507501030002e-03	7.281262e+00
1.367038751030002e-03	6.622057e+00
1.386570001030002e-03	5.863460e+00
1.396335626030002e-03	5.450325e+00
1.406101251030002e-03	5.016373e+00
1.415866876030002e-03	4.563607e+00
1.425632501030002e-03	4.093655e+00
1.435398126030002e-03	3.608306e+00
1.445163751030002e-03	3.109379e+00
1.454929376030002e-03	2.598750e+00
1.464695001030002e-03	2.078338e+00
1.474460626030002e-03	1.550099e+00
1.484226251030002e-03	1.016019e+00
1.493991876030002e-03	4.781072e-01
1.503757501030002e-03	-6.161409e-02
1.513523126030002e-03	-6.011136e-01
1.523288751030002e-03	-1.138361e+00
1.533054376030002e-03	-1.671332e+00
1.542820001030002e-03	-2.198021e+00
1.552585626030002e-03	-2.716443e+00
1.562351251030002e-03	-3.224644e+00
1.572116876030002e-03	-3.720707e+00
1.581882501030002e-03	-4.202764e+00
1.591648126030002e-03	-4.668996e+00
1.601413751030002e-03	-5.117644e+00
1.611179376030002e-03	-5.547017e+00
1.620945001030002e-03	-5.955495e+00
1.630710626030002e-03	-6.341538e+00
1.640476251030002e-03	-6.703691e+00
1.650241876030002e-03	-7.040588e+00
1.660007501030002e-03	-7.350961e+00
1.679538751030002e-03	-7.887563e+00
1.699070001030002e-03	-8.305429e+00
1.718601251030002e-03	-8.598298e+00
1.738132501030002e-03	-8.761758e+00
1.757663751030002e-03	-8.793383e+00
1.777195001030002e-03	-8.692739e+00
1.796726251030002e-03	-8.461381e+00
1.816257501030002e-03	-8.102810e+00
1.835788751030002e-03	-7.622418e+00
1.845554376030002e-03	-7.338737e+00
1.855320001030002e-03	-7.027453e+00
1.865085626030002e-03	-6.689739e+00
1.874851251030002e-03	-6.326863e+00
1.884616876030002e-03	-5.940192e+00
1.894382501030002e-03	-5.531177e+00
1.904148126030002e-03	-5.101355e+00
1.913913751030002e-03	-4.652342e+00
1.923679376030002e-03	-4.185824e+00
1.933445001030002e-03	-3.703553e+00
1.943210626030002e-03	-3.207341e+00
1.952976251030002e-03	-2.699053e+00
1.962741876030002e-03	-2.180598e+00
1.972507501030002e-03	-1.653924e+00
1.982273126030002e-03	-1.121012e+00
1.992038751030002e-03	-5.838659e-01
2.001804376030002e-03	-4.450588e-02
2.011570001030001e-03	4.950385e-01
2.021335626030001e-03	1.032736e+00
2.031101251030001e-03	1.566563e+00
2.040866876030001e-03	2.094508e+00
2.050632501030001e-03	2.614582e+00
2.060398126030000e-03	3.124825e+00
2.070163751030000e-03	3.623314e+00
2.079929376030000e-03	4.108171e+00
2.089695001030000e-03	4.577568e+00
2.099460626030000e-03	5.029736e+00
2.109226251029999e-03	5.462970e+00
2.128757501029999e-03	6.266629e+00
2.148288751029999e-03	6.976090e+00
2.167820001029998e-03	7.580458e+00
2.187351251029998e-03	8.070658e+00
2.206882501029997e-03	8.439343e+00
2.226413751029997e-03	8.681004e+00
2.245945001029996e-03	8.792042e+00
2.265476251029996e-03	8.770833e+00
2.285007501029996e-03	8.617740e+00
2.304538751029995e-03	8.335110e+00
2.324070001029995e-03	7.927231e+00
2.343601251029994e-03	7.400273e+00
2.363132501029994e-03	6.762190e+00
2.382663751029994e-03	6.022602e+00
2.392429376029993e-03	5.618165e+00
2.402195001029993e-03	5.192315e+00
2.411960626029993e-03	4.746870e+00
2.421726251029993e-03	4.283585e+00
2.431491876029993e-03	3.804178e+00
2.441257501029992e-03	3.310461e+00
2.451023126029992e-03	2.804284e+00
2.460788751029992e-03	2.287553e+00
2.470554376029992e-03	1.762208e+00
2.480320001029991e-03	1.230224e+00
2.490085626029991e-03	6.936027e-01
2.499851251029991e-03	1.543616e-01
2.509616876029991e-03	-3.854705e-01
2.519382501029991e-03	-9.238619e-01
2.529148126029990e-03	-1.458786e+00
2.538913751029990e-03	-1.988227e+00
2.548679376029990e-03	-2.510192e+00
2.558445001029990e-03	-3.022713e+00
2.568210626029990e-03	-3.523859e+00
2.577976251029989e-03	-4.011740e+00
2.587741876029989e-03	-4.484516e+00
2.597507501029989e-03	-4.940404e+00
2.607273126029989e-03	-5.377686e+00
2.617038751029989e-03	-5.794711e+00
2.626804376029988e-03	-6.189908e+00
2.636570001029988e-03	-6.561786e+00
2.646335626029988e-03	-6.908943e+00
2.656101251029988e-03	-7.230072e+00
2.675632501029987e-03	-7.789509e+00
2.695163751029987e-03	-8.231682e+00
2.714695001029986e-03	-8.549965e+00
2.734226251029986e-03	-8.739564e+00
2.753757501029986e-03	-8.797653e+00
2.773288751029985e-03	-8.723402e+00
2.792820001029985e-03	-8.517968e+00
2.812351251029984e-03	-8.184472e+00
2.831882501029984e-03	-7.727920e+00
2.841648126029984e-03	-7.455584e+00
2.851413751029984e-03	-7.155206e+00
2.861179376029983e-03	-6.827917e+00
2.870945001029983e-03	-6.474947e+00
2.880710626029983e-03	-6.097625e+00
2.890476251029983e-03	-5.697367e+00
2.900241876029983e-03	-5.275679e+00
2.910007501029982e-03	-4.834144e+00
2.919773126029982e-03	-4.374421e+00
2.929538751029982e-03	-3.898237e+00
2.939304376029982e-03	-3.407381e+00
2.949070001029981e-03	-2.903696e+00
2.958835626029981e-03	-2.389076e+00
2.968601251029981e-03	-1.865453e+00
2.978366876029981e-03	-1.334798e+00
2.988132501029981e-03	-7.991035e-01
2.997898126029980e-03	-2.603858e-01
3.007663751029980e-03	2.793286e-01
3.017429376029980e-03	8.180085e-01
3.027195001029980e-03	1.353626e+00
3.036960626029980e-03	1.884163e+00
3.046726251029979e-03	2.407623e+00
3.056491876029979e-03	2.922031e+00
3.066257501029979e-03	3.425450e+00
3.076023126029979e-03	3.915982e+00
3.085788751029979e-03	4.391779e+00
3.095554376029978e-03	4.851047e+00
3.105320001029978e-03	5.292055e+00
3.115085626029978e-03	5.713147e+00
3.134616876029978e-03	6.489896e+00
3.154148126029977e-03	7.168880e+00
3.173679376029977e-03	7.739875e+00
3.193210626029976e-03	8.194309e+00
3.212741876029976e-03	8.525380e+00
3.232273126029975e-03	8.728143e+00
3.251804376029975e-03	8.799587e+00
3.271335626029975e-03	8.738685e+00
3.290866876029974e-03	8.546394e+00
3.310398126029974e-03	8.225652e+00
3.329929376029973e-03	7.781319e+00
3.349460626029973e-03	7.220109e+00
3.368991876029973e-03	6.550492e+00
3.388523126029972e-03	5.782562e+00
3.398288751029972e-03	5.365141e+00
3.408054376029972e-03	4.927271e+00
3.417820001029971e-03	4.470936e+00
3.427585626029971e-03	3.997759e+00
3.437351251029971e-03	3.509548e+00
3.447116876029971e-03	3.008129e+00
3.456882501029971e-03	2.495388e+00
3.466648126029970e-03	1.973253e+00
3.476413751029970e-03	1.443686e+00
3.486179376029970e-03	9.086790e-01
3.495945001029970e-03	3.702427e-01
3.505710626029970e-03	-1.695968e-01
3.515476251029969e-03	-7.088081e-01
3.525241876029969e-03	-1.245362e+00
3.535007501029969e-03	-1.777237e+00
3.544773126029969e-03	-2.302430e+00
3.554538751029969e-03	-2.818963e+00
3.564304376029968e-03	-3.324888e+00
3.574070001029968e-03	-3.818298e+00
3.583835626029968e-03	-4.297334e+00
3.593601251029968e-03	-4.760187e+00
3.603366876029968e-03	-5.205113e+00
3.613132501029967e-03	-5.630435e+00
3.622898126029967e-03	-6.034546e+00
3.632663751029967e-03	-6.415925e+00
3.642429376029967e-03	-6.773133e+00
3.652195001029966e-03	-7.104824e+00
3.661960626029966e-03	-7.409748e+00
3.681491876029966e-03	-7.934811e+00
3.701023126029965e-03	-8.340426e+00
3.720554376029965e-03	-8.620523e+00
3.740085626029965e-03	-8.770875e+00
3.759616876029964e-03	-8.789260e+00
3.779148126029964e-03	-8.675442e+00
