time	V(vout)
0.000000000000000e+00	1.103976e-11
2.568911378979682e-02	3.873982e-09
3.128911378979682e-02	1.892940e-08
3.688911378979681e-02	1.230728e-07
4.248911378979681e-02	8.325288e-07
4.704869867482650e-02	3.440798e-06
5.080861915603069e-02	9.562161e-06
5.446906907478152e-02	2.184658e-05
5.849389311633391e-02	4.451451e-05
6.059389311633392e-02	6.041727e-05
6.409389311633393e-02	9.233605e-05
6.899389311633394e-02	1.469883e-04
7.319389311633395e-02	2.034160e-04
7.739389311633398e-02	2.627964e-04
8.159389311633398e-02	3.251295e-04
8.579389311633401e-02	3.904152e-04
8.999389311633402e-02	4.586536e-04
9.419389311633403e-02	5.298446e-04
9.839389311633404e-02	6.039884e-04
1.101218320650998e-01	8.115373e-04
1.139838168462972e-01	8.604820e-04
1.178458016274945e-01	9.010063e-04
1.217077864086919e-01	9.331101e-04
1.255697711898893e-01	9.567935e-04
1.294317559710866e-01	9.720565e-04
1.332937407522840e-01	9.788990e-04
1.371557255334813e-01	9.773212e-04
2.904191933144126e-01	9.822981e-04
4.436826610953439e-01	9.861443e-04
5.969461288762752e-01	9.888597e-04
7.502095966572064e-01	9.904443e-04
9.034730644381377e-01	9.908981e-04
1.056736532219069e+00	9.902212e-04
1.210000000000000e+00	9.884135e-04
1.213939476137907e+00	9.661792e-04
1.217878952275815e+00	9.357184e-04
1.221818428413722e+00	8.970313e-04
1.225757904551629e+00	8.501178e-04
1.229697380689537e+00	7.949779e-04
1.233636856827444e+00	7.316116e-04
1.237576332965351e+00	6.600189e-04
1.240264446094747e+00	6.146534e-04
1.242952559224142e+00	5.694693e-04
1.245640672353538e+00	5.244666e-04
1.248328785482934e+00	4.796453e-04
1.251016898612329e+00	4.350054e-04
1.253705011741725e+00	3.905470e-04
1.256393124871120e+00	3.462699e-04
1.257690834657725e+00	3.254240e-04
1.260935109124237e+00	2.745470e-04
1.262232818910842e+00	2.547555e-04
1.264828238484051e+00	2.165297e-04
1.270019077630471e+00	1.479256e-04
1.275619077630471e+00	9.037698e-05
1.281219077630471e+00	5.225550e-05
1.286819077630471e+00	2.960918e-05
1.291640718171578e+00	1.813489e-05
1.295692044147067e+00	1.301622e-05
1.299743370122556e+00	8.788114e-06
1.303794696098045e+00	5.450574e-06
1.307846022073534e+00	3.003600e-06
1.311897348049022e+00	1.447190e-06
1.315948674024511e+00	7.813459e-07
1.320000000000000e+00	1.006067e-06
1.400000000000000e+00	-nan(ind)
